cluster_a;edad;sexo;poblacion;grupo_edad;escolarizacion;atencion_salud_formal;trabajo_remunerado;p_escolarizacion;p_atencion_salud_formal;p_trabajo_remunerado
0;1;h;59903;1;59903;8909;0;1;0.148723770094987;0
0;1;m;56630;1;56630;8115;0;1;0.143298604979693;0
0;2;h;67939;1;66587;6558;0;0.980099795404701;0.0965277675561901;0
0;2;m;65398;1;64278;6390;0;0.982874094008991;0.0977094100737026;0
0;3;h;77530;2;77030;5738;1518;0.993550883528956;0.0740100606216948;0.019579517606088
0;3;m;73837;2;73520;5836;296;0.995706759483728;0.0790389642049379;0.00400883026125113
0;4;h;81739;3;80921;5501;18391;0.989992537222134;0.067299575478046;0.224996635632929
0;4;m;75552;3;75079;7235;5146;0.993739411266413;0.095761859381618;0.0681120288013554
0;5;h;70138;4;69045;4669;38398;0.984416436168696;0.0665687644358265;0.547463571815564
0;5;m;66085;4;65447;6303;14957;0.990345766815465;0.0953771657713551;0.226329726866914
0;6;h;61089;5;59716;4425;40907;0.97752459526265;0.0724352993173894;0.669629556876033
0;6;m;59770;5;58910;6150;17238;0.985611510791367;0.102894428643132;0.288405554626067
0;7;h;56981;5;55169;4690;40705;0.96819992629122;0.0823081378003194;0.714360927326653
0;7;m;56619;5;55425;6589;17045;0.978911672760028;0.116374361963299;0.301047351595754
0;8;h;56354;6;54260;5096;41069;0.962842034283281;0.090428363558931;0.72876814423111
0;8;m;55959;6;54382;7408;17459;0.971818652942333;0.132382637288014;0.311996282992905
0;9;h;50406;6;47997;5142;36933;0.952208070467801;0.102011665277943;0.732710391620045
0;9;m;50317;6;48342;7522;15133;0.960748852276567;0.149492219329451;0.300753224556313
0;10;h;49064;6;46065;5669;35921;0.938875754117072;0.115542964291538;0.732125387249307
0;10;m;48069;6;45512;8560;13519;0.946805633568412;0.17807734714681;0.28124154860721
0;11;h;46422;6;42650;6215;32958;0.918745422429021;0.133880487699798;0.709965102753005
0;11;m;45374;6;41909;9270;11485;0.923634680654119;0.204302023185084;0.253118526028122
0;12;h;41353;6;36975;6478;28178;0.894131018305806;0.156651270766329;0.681401591178391
0;12;m;40590;6;36313;9275;8647;0.894629219019463;0.22850455777285;0.213032766691303
0;13;h;34365;7;29499;6794;21652;0.858402444347447;0.197701149425287;0.630059653717445
0;13;m;33794;7;28744;8715;5669;0.85056518908682;0.257886015268983;0.167751671894419
0;14;h;28572;7;23498;6536;16154;0.822413551728965;0.228755424891502;0.565378692426151
0;14;m;27953;7;22475;8074;3305;0.804028190176368;0.288841984760133;0.118234178800129
0;15;h;22171;7;17423;5960;10346;0.785846375896441;0.268819629245411;0.466645618149835
0;15;m;22478;7;16981;7008;1916;0.755449773111487;0.311771509920811;0.0852389002580301
0;16;h;16993;7;12552;5101;5988;0.73865709409757;0.300182428058612;0.352380391926087
0;16;m;17829;7;12198;6044;1064;0.684166246003702;0.338998261259745;0.0596780526109148
0;17;h;11136;7;7503;3523;2706;0.673760775862069;0.316361350574713;0.242995689655172
0;17;m;12506;7;7682;4326;532;0.614265152726691;0.345913961298577;0.0425395810011195
0;18;h;5885;7;3806;2006;916;0.646728971962617;0.340866610025489;0.155649957519116
0;18;m;7177;7;3965;2465;271;0.552459244809809;0.343458269471924;0.0377595095443779
0;19;h;2053;7;1255;678;234;0.611300535801266;0.330248416950804;0.113979542133463
0;19;m;2666;7;1412;842;74;0.529632408102025;0.31582895723931;0.0277569392348087
0;20;h;499;7;302;160;53;0.605210420841683;0.32064128256513;0.106212424849699
0;20;m;737;7;364;206;27;0.493894165535957;0.279511533242877;0.0366350067842605
0;21;h;175;7;124;34;54;0.708571428571429;0.194285714285714;0.308571428571429
0;21;m;218;7;123;56;20;0.564220183486238;0.256880733944954;0.0917431192660551
1;1;h;266443;1;266443;21822;0;1;0.0819011946269934;0
1;1;m;253902;1;253902;19691;0;1;0.0775535442808643;0
1;2;h;297311;1;287112;13912;0;0.965695853836555;0.0467927523704135;0
1;2;m;283176;1;274587;13061;0;0.969669039749131;0.0461232590332514;0
1;3;h;315678;2;310581;11258;6204;0.983853800391538;0.0356629223449211;0.0196529374869329
1;3;m;297763;2;294461;11359;1732;0.988910643699855;0.0381477886775724;0.00581670657536363
1;4;h;301468;3;294328;9367;60293;0.976315894224263;0.031071291148646;0.19999800973901
1;4;m;277631;3;273447;13087;15189;0.984929636820096;0.0471381077761489;0.0547093083985578
1;5;h;248633;4;239956;8382;136197;0.96510117321514;0.033712339070035;0.547783278969405
1;5;m;237353;4;231986;12394;45269;0.977388109693157;0.0522175830935358;0.190724364132747
1;6;h;216126;5;205588;8569;152045;0.951241405476435;0.0396481681981807;0.703501661068081
1;6;m;216716;5;209798;12632;57644;0.96807803761605;0.0582882666715886;0.265988667195777
1;7;h;192344;5;179109;8656;145617;0.931190991140873;0.0450027034895812;0.757065466040012
1;7;m;196943;5;187688;13185;58369;0.953006707524512;0.0669483048394713;0.296375093301107
1;8;h;178971;6;163480;9404;139498;0.913444077532114;0.0525448256980181;0.77944471450682
1;8;m;182860;6;171216;13771;58761;0.936322869955157;0.0753089795471946;0.32134419774691
1;9;h;157234;6;139314;8930;124100;0.88602973911495;0.0567943320147042;0.78926949641935
1;9;m;158824;6;144387;13916;51127;0.909100639701808;0.0876189996474084;0.321909786933965
1;10;h;150019;6;130100;9738;118659;0.86722348502523;0.0649117778414734;0.790959811757177
1;10;m;148956;6;132401;15135;46722;0.888859797524101;0.101607186014662;0.31366309514219
1;11;h;138444;6;115257;10121;108300;0.832517118835052;0.0731053711247869;0.782265753662131
1;11;m;133574;6;114069;15577;38929;0.853976073187896;0.116617006303622;0.291441448186024
1;12;h;117802;6;92297;10026;90188;0.783492640192866;0.0851089115634709;0.765589718340945
1;12;m;114096;6;92031;14475;29303;0.80661022297013;0.126866848969289;0.25682758378909
1;13;h;92241;7;66953;9044;67169;0.725848592274585;0.0980475059897443;0.728190284146963
1;13;m;88117;7;65730;12022;18953;0.745940056969711;0.136432243494445;0.215089029358694
1;14;h;72954;7;49335;8662;49178;0.676248046714368;0.118732351892974;0.674096005702223
1;14;m;68870;7;47230;10572;11378;0.685784811964571;0.153506606650211;0.165209815594599
1;15;h;53316;7;33091;7229;30740;0.620657963838247;0.135587816040213;0.576562382774402
1;15;m;49548;7;30977;8359;5474;0.62519173326875;0.168705094050214;0.110478727698393
1;16;h;40020;7;21835;6177;18138;0.54560219890055;0.154347826086957;0.453223388305847
1;16;m;38952;7;21275;7017;3175;0.546185048264531;0.180144793592113;0.0815105771205586
1;17;h;25089;7;12240;4344;7464;0.48786320698314;0.17314360875284;0.297500896807366
1;17;m;26208;7;13017;5019;1580;0.496680402930403;0.19150641025641;0.0602869352869353
1;18;h;12752;7;5716;2241;2650;0.448243412797992;0.175737139272271;0.207810539523212
1;18;m;14062;7;6441;2717;752;0.458042952638316;0.193215758782534;0.053477456976248
1;19;h;5352;7;2216;897;764;0.414050822122571;0.167600896860987;0.142750373692078
1;19;m;5966;7;2623;1091;317;0.439658062353336;0.182869594368086;0.0531344284277573
1;20;h;1609;7;683;241;251;0.424487259167185;0.149782473586078;0.155997513983841
1;20;m;1958;7;810;297;108;0.413687436159346;0.151685393258427;0.0551583248212462
1;21;h;703;7;396;70;279;0.563300142247511;0.0995732574679943;0.396870554765292
1;21;m;781;7;407;93;83;0.52112676056338;0.119078104993598;0.106274007682458
2;1;h;57428;1;57428;3293;0;1;0.057341366580762;0
2;1;m;55892;1;55892;3005;0;1;0.0537644027767838;0
2;2;h;63748;1;58263;2458;0;0.913958084959528;0.0385580724101148;0
2;2;m;60945;1;55747;2351;0;0.914709984412175;0.0385757650340471;0
2;3;h;60857;2;57783;2089;1838;0.949488144338367;0.0343263716581494;0.0302019488308658
2;3;m;58402;2;55566;2077;941;0.951440019177425;0.0355638505530632;0.0161124619019897
2;4;h;56762;3;53224;1826;7579;0.937669567668511;0.0321694091117297;0.133522426975794
2;4;m;51983;3;48624;2099;3174;0.935382721274263;0.0403785853067349;0.0610584229459631
2;5;h;46112;4;42003;1473;15730;0.910890874392783;0.0319439625260236;0.341125954198473
2;5;m;41129;4;37105;1978;6911;0.902161491891366;0.0480925867392837;0.168032288652775
2;6;h;34933;5;30686;1435;16447;0.878424412446684;0.0410786362465291;0.470815561217187
2;6;m;34660;5;30205;1797;7542;0.871465666474322;0.0518465089440277;0.217599538372764
2;7;h;30048;5;25363;1320;15088;0.84408280085197;0.0439297124600639;0.502129925452609
2;7;m;30694;5;25178;1773;7369;0.820290610542777;0.0577637323255359;0.240079494363719
2;8;h;25939;6;21175;1324;13416;0.816338332241027;0.0510428312579513;0.517213462353984
2;8;m;26347;6;20574;1736;6642;0.78088586935894;0.065889854632406;0.25209701294265
2;9;h;22660;6;17906;1278;11701;0.790203000882613;0.0563989408649603;0.516372462488967
2;9;m;22237;6;16171;1643;5515;0.727211404416063;0.073885865899177;0.248010073301255
2;10;h;19224;6;14867;1195;9954;0.773356221389929;0.0621618809821057;0.517790262172285
2;10;m;18827;6;13523;1692;4781;0.718276942688692;0.0898709300472725;0.253943804111117
2;11;h;16352;6;12111;1226;8627;0.740643346379648;0.0749755381604697;0.52758072407045
2;11;m;15990;6;10834;1657;3991;0.67754846779237;0.103627267041901;0.249593495934959
2;12;h;14463;6;10008;1233;7362;0.691972619788426;0.0852520224019913;0.509023024268824
2;12;m;14512;6;8981;1608;3340;0.618867144432194;0.110804851157663;0.230154355016538
2;13;h;10071;7;6605;1070;5019;0.655843511071393;0.106245655843511;0.49836163240989
2;13;m;9930;7;5919;1213;1989;0.59607250755287;0.122155085599194;0.200302114803625
2;14;h;8424;7;4997;1017;3843;0.593186134852801;0.120726495726496;0.456196581196581
2;14;m;8472;7;4412;1084;1325;0.520774315391879;0.12795089707271;0.156397544853635
2;15;h;5742;7;3171;734;2299;0.552246603970742;0.127830024381749;0.400383141762452
2;15;m;5838;7;2679;853;738;0.458890030832477;0.146111682082905;0.126413155190134
2;16;h;4522;7;2212;709;1463;0.489164086687306;0.156789031402034;0.323529411764706
2;16;m;4965;7;1959;837;478;0.394561933534743;0.168580060422961;0.0962739174219537
2;17;h;2755;7;1276;449;689;0.463157894736842;0.162976406533575;0.250090744101633
2;17;m;3358;7;1283;609;247;0.382072662298988;0.181357951161406;0.0735556879094699
2;18;h;1343;7;553;243;258;0.411764705882353;0.180938198064036;0.19210722263589
2;18;m;1709;7;576;284;139;0.33703920421299;0.166179052077238;0.0813341135166764
2;19;h;501;7;211;88;87;0.421157684630739;0.17564870259481;0.173652694610778
2;19;m;702;7;239;113;54;0.34045584045584;0.160968660968661;0.0769230769230769
2;20;h;181;7;77;30;25;0.425414364640884;0.165745856353591;0.138121546961326
2;20;m;288;7;90;33;18;0.3125;0.114583333333333;0.0625
2;21;h;134;7;73;11;51;0.544776119402985;0.082089552238806;0.380597014925373
2;21;m;157;7;70;16;19;0.445859872611465;0.101910828025478;0.121019108280255
3;1;h;743287;1;743287;81224;0;1;0.109276766578724;0
3;1;m;707147;1;707147;71449;0;1;0.10103839795686;0
3;2;h;807207;1;797545;53434;0;0.988030331748857;0.0661961553851738;0
3;2;m;774127;1;766072;50153;0;0.989594730580383;0.0647865272752404;0
3;3;h;886423;2;881045;47824;5977;0.993932919159363;0.0539516686728571;0.00674283045453469
3;3;m;850329;2;846753;46061;3565;0.995794568925675;0.0541684453899608;0.00419249490491328
3;4;h;1004373;3;995609;47857;159665;0.9912741581066;0.0476486325299465;0.15896982495547
3;4;m;976881;3;971748;63985;97693;0.994745521716565;0.06549927780354;0.100005015964073
3;5;h;1131794;4;1121687;57967;650407;0.991069929686851;0.0512169175662709;0.574669065218582
3;5;m;1135564;4;1128967;82473;499906;0.994190552007637;0.0726273464111226;0.440227058976861
3;6;h;1077237;5;1065228;60613;834002;0.988852035345982;0.0562670981408919;0.774204747887419
3;6;m;1095853;5;1086453;86237;674169;0.991422207175597;0.0786939489146811;0.615200213897302
3;7;h;968741;5;954586;58577;805554;0.985388251348916;0.0604671424044198;0.831547338246239
3;7;m;1003605;5;991854;85813;658100;0.988291210187275;0.0855047553569382;0.655736071462378
3;8;h;916372;6;900416;60107;781740;0.982587857333048;0.0655923576887989;0.853081499652979
3;8;m;989110;6;974983;92650;658321;0.985717463173964;0.0936700670299562;0.665569046920969
3;9;h;752739;6;736958;54731;650773;0.979035230006682;0.0727091329132674;0.864540033132334
3;9;m;856110;6;841316;89187;555790;0.982719510343297;0.104177033325157;0.649203957435376
3;10;h;719075;6;701714;59853;622594;0.975856482286271;0.0832361019365157;0.865826235093697
3;10;m;848008;6;830593;102584;511107;0.979463637135499;0.120970556881539;0.602714832878935
3;11;h;719157;6;698682;68535;613667;0.97152916539782;0.0952990793387258;0.853314366682101
3;11;m;866682;6;844828;120086;470437;0.974784292277906;0.138558317814377;0.542802319651268
3;12;h;629756;6;608340;70240;520858;0.96599317831033;0.111535261275796;0.827079059191179
3;12;m;777363;6;752597;116744;371425;0.968141010055791;0.15017951716251;0.477801233143332
3;13;h;498899;7;477476;66038;398230;0.957059444897665;0.132367473175933;0.798217675321057
3;13;m;631017;7;604312;104715;272572;0.957679428604935;0.165946400810121;0.431956666777599
3;14;h;374470;7;354797;57715;292103;0.947464416375144;0.154124495954282;0.780043795230593
3;14;m;478212;7;451876;88827;188653;0.944928190844228;0.185748161903089;0.394496583105401
3;15;h;264995;7;246865;47729;194207;0.931583614785185;0.180112832317591;0.732870431517576
3;15;m;347719;7;320868;72688;122928;0.922779600769587;0.209042358916251;0.353526842076504
3;16;h;183932;7;167233;38662;121805;0.909211012765587;0.210197246808603;0.6622284322467
3;16;m;254052;7;226431;59538;80611;0.891278163525577;0.234353596901422;0.317301182435092
3;17;h;116823;7;103131;27171;68363;0.882797051950386;0.23258262499679;0.585184424300009
3;17;m;177291;7;152544;44637;53607;0.86041592635836;0.251772509602856;0.302367294448111
3;18;h;63409;7;54604;15504;33408;0.861139585863205;0.244507877430649;0.526865271491429
3;18;m;104235;7;87208;26337;30452;0.836647958938936;0.25266944884156;0.292147551206409
3;19;h;23888;7;20305;5790;11502;0.850008372404555;0.242381111855325;0.48149698593436
3;19;m;44048;7;36271;10561;12361;0.82344260806393;0.239761169633127;0.280625681075191
3;20;h;6201;7;5219;1343;2876;0.84163844541203;0.216577971294952;0.463796161909369
3;20;m;12514;7;10027;2857;3212;0.801262585903788;0.228304299184913;0.256672526770018
3;21;h;2960;7;2647;295;1722;0.894256756756757;0.0996621621621622;0.581756756756757
3;21;m;4157;7;3504;626;1313;0.842915564108732;0.150589367332211;0.315852778445995
4;1;h;428544;1;428544;35515;0;1;0.0828736372461171;0
4;1;m;408605;1;408605;31567;0;1;0.0772555401916276;0
4;2;h;469369;1;458515;23465;0;0.976875336888461;0.0499926497063078;0
4;2;m;446020;1;436922;21618;0;0.979601811577956;0.0484686785345949;0
4;3;h;507730;2;503010;19608;7417;0.990703720481358;0.038618951017273;0.0146081578791878
4;3;m;482035;2;478916;19261;2237;0.993529515491614;0.0399576794216188;0.00464074185484457
4;4;h;526188;3;519755;17971;101757;0.987774331607714;0.0341531923951135;0.193385253939657
4;4;m;499678;3;495782;23799;35041;0.992202978718295;0.0476286728653253;0.0701271618922586
4;5;h;486876;4;478867;17817;271412;0.983550226340999;0.0365945333103295;0.557456107920703
4;5;m;476604;4;471731;24320;134007;0.989775578887294;0.0510276875561263;0.281170531510436
4;6;h;445773;5;435797;18250;327421;0.977620896734437;0.0409401197470461;0.734501640969731
4;6;m;450017;5;443860;25635;178938;0.986318294642202;0.0569645146738901;0.397624978611919
4;7;h;401669;5;389815;18981;318624;0.97048813824318;0.0472553271474771;0.793250163691995
4;7;m;412885;5;404926;26444;181129;0.980723445995858;0.0640468895697349;0.438691160977027
4;8;h;382781;6;368917;19987;312644;0.963780856416593;0.052215235343447;0.816769902372375
4;8;m;401951;6;391526;29526;184402;0.974064002826215;0.0734567148732059;0.458767362190914
4;9;h;325289;6;309731;19069;270485;0.952171761110889;0.0586217179185278;0.831522123404111
4;9;m;348848;6;336179;29419;157369;0.963683323395863;0.0843318580011925;0.451110512314819
4;10;h;308447;6;290422;20654;257170;0.941562083599451;0.0669612607676521;0.833757501288714
4;10;m;336412;6;320619;33307;142569;0.953054587826831;0.0990065752707989;0.423792849244379
4;11;h;293533;6;271483;22508;241429;0.924880677811353;0.0766796237561024;0.822493552684025
4;11;m;320850;6;300456;36338;123332;0.936437587657784;0.113255415303101;0.384391460183887
4;12;h;253868;6;229742;22623;202971;0.904966360470796;0.0891132399514708;0.799513920620165
4;12;m;276996;6;253306;34708;92703;0.9144752992823;0.125301448396367;0.334672702854915
4;13;h;204558;7;178693;22127;155521;0.873556644081385;0.108169810029429;0.760278258489035
4;13;m;221658;7;195132;31148;62646;0.880329155726389;0.1405227873571;0.282624583818315
4;14;h;155352;7;130759;19998;110614;0.841694989443329;0.128727019928936;0.712021731294093
4;14;m;166813;7;140547;26251;38820;0.842542247906338;0.157367831044343;0.232715675636791
4;15;h;111548;7;89077;16736;69231;0.798553089253057;0.150034066052282;0.62063864883279
4;15;m;121064;7;96443;21561;21434;0.796628229696689;0.178095883169233;0.17704685125223
4;16;h;79757;7;59523;13873;40449;0.746304399613827;0.173940845317652;0.507152977168148
4;16;m;89611;7;66153;17300;12892;0.738224101951769;0.193056655990894;0.143866266418185
4;17;h;49625;7;34391;9505;18950;0.693017632241814;0.191536523929471;0.381863979848866
4;17;m;61985;7;42669;12624;7556;0.688376220053239;0.203662176332984;0.121900459788659
4;18;h;26262;7;17184;5341;7687;0.654329449394563;0.203373695834285;0.29270428756378
4;18;m;34586;7;22473;7144;3953;0.64977158387787;0.206557566645463;0.114294801364714
4;19;h;9988;7;6202;1896;2303;0.620945134160993;0.189827793352022;0.230576692030437
4;19;m;14399;7;9035;2778;1631;0.627474130147927;0.192930064587819;0.113271754982985
4;20;h;2801;7;1707;486;633;0.609425205283827;0.173509460906819;0.225990717600857
4;20;m;4413;7;2680;773;471;0.607296623612055;0.17516428733288;0.106730115567641
4;21;h;1322;7;993;117;667;0.751134644478064;0.0885022692889561;0.504538577912254
4;21;m;1619;7;1136;182;301;0.701667696108709;0.112415071031501;0.18591723285979
